date,time,type,title,url,speaker,end_time,abstract,overview,matched_teams,relevance_scores,team_research_focus,matching_reasons
"Sunday, Nov 30, 2025",11:00,Workshop,NeurIPS 2025 Workshop on Socially Responsible and Trustworthy Foundation Models,https://neurips.cc/virtual/2025/workshop/127834,,18:00,"The Socially Responsible and Trustworthy Foundation Models (ResponsibleFM) Workshop at NeurIPS 2025 Mexico City is envisioned as a vital interdisciplinary forum dedicated to advancing ethical, inclusive, and socially conscious research practices in the rapidly evolving field of foundation models, including language models and multimodal models. As foundation models are tremendously reshaping human communication, decision-making, and societal infrastructures, there is a growing recognition of the profound impacts these systems can have, both positive and negative, on individuals and communities. In particular, previous research has documented a wide range of risks and harms associated with foundation models, including but not limited to bias and discrimination, misinformation propagation, privacy violations, environmental concerns, and unintended social consequences.","Overview: The ResponsibleFM Workshop is an interdisciplinary forum focused on advancing ethical, inclusive, and socially responsible research in foundation models, including language and multimodal models. It aims to address fairness, accountability, transparency, and safety throughout model development and deployment, proactively tackling ethical and social risks. The workshop brings together researchers, practitioners, ethicists, policy-makers, and affected communities to catalyze methods and best practices ensuring foundation model research serves the common good. The event is scheduled to be held in hybrid mode, both virtually and at the Hilton Mexico City Reforma, during NeurIPS 2025. | Research Interests: Defining & Measuring Trustworthiness, Techniques to Enhance Trustworthiness, Deployment & Social Good, Datasets & Benchmarks, Interdisciplinary Perspectives & Governance","多伦多云, 计算","多伦多云:65, 计算:55",多伦多云:AI Agent可靠性与行为管控; 计算:高效模型架构的社会影响,多伦多云:Workshop关注trustworthy和accountability机制，直接对应Agent行为可靠性评估与管控需求; 计算:Foundation model的安全设计与模型架构演进趋势相关
"Sunday, Nov 30, 2025",11:00,Workshop,NeurIPS 2025 Workshop on Embodied and Safe-Assured Robotic Systems,https://neurips.cc/virtual/2025/workshop/127833,,18:00,"This workshop focuses on advancing safe and quality-assured embodied robotic systems. Embodied systems—including autonomous robots, self-driving vehicles, robotic arms, and humanoid robots—are increasingly deployed in safety-critical real-world scenarios. Ensuring their trustworthiness—encompassing safety, reliability, and predictable behavior—remains a pressing challenge. Despite notable progress in perception, reasoning, and control, many AI-based robotic systems still operate as “black boxes,” often exhibiting unpredictable behaviors. Failures can emerge from complex sensorimotor interactions, adversarial inputs, or novel environments, leading to safety incidents and diminished user trust.",,"温哥华云, 计算, 多伦多云, CBG","温哥华云:95, 计算:75, 多伦多云:70, CBG:60",温哥华云:Embodied AI战略重点领域; 计算:Agentic和多模态前沿应用负载; 多伦多云:具身Agent的可靠性与安全保证; CBG:3D环境感知与重建,温哥华云:Workshop完全对应其Embodied/Physical AI战略投资方向; 计算:具身机器人是典型的Agentic多模态前沿负载; 多伦多云:具身系统的安全保证与Agent行为管控高度相关; CBG:机器人需要3D场景理解和重建能力
"Sunday, Nov 30, 2025",11:00,Workshop,NeurIPS2025 Workshop Research Development AI Mexico,https://neurips.cc/virtual/2025/workshop/127832,,18:00,"The Research Development of AI in Mexico: Main Applications workshop seeks to showcase, strengthen, and connect the most impactful developments in Artificial Intelligence (AI) and Data Science emerging from Mexico and the broader Latin American region. Over the past four decades, Mexico has cultivated a robust research community in AI through pioneering contributions in areas such as computational intelligence, autonomous robotics, fuzzy systems, and natural language processing, led by institutions including CIC–IPN, INAOE, UNAM, ITESM, CINVESTAV, and Universidad Veracruzana.Today, the region is undergoing a strategic transformation, shifting from foundational research to the development of applied AI technologies addressing real-world needs in healthcare, education, agriculture, smart cities, cybersecurity, and sustainability. This evolution has been further propelled by increased access to open data, advances in computing infrastructure, and growing collaborations between academia, government, and industry.Despite these advances, Latin America faces distinctive challenges in the development and deployment of AI. These include limited funding, underrepresentation in global AI initiatives, digital inequality, and the need for responsible, inclusive, and culturally relevant AI systems. Additionally, emerging concerns related to AI ethics, algorithmic bias, and regulatory frameworks must be addressed proactively to ensure equitable and trustworthy technology adoption.This workshop aims to create a forum for researchers, students, practitioners, and policymakers to engage in meaningful dialogue about the current landscape and future directions of AI in Mexico and Latin America. By promoting interdisciplinary collaboration, the workshop will highlight impactful case studies, emerging research trajectories, and opportunities for cross-border cooperation, while fostering a shared vision for AI that is ethical, sustainable, and aligned with regional priorities.",,,,,区域性AI应用展示workshop，与所有团队的技术研究方向相关度均低于50分阈值
"Sunday, Nov 30, 2025",11:00,Workshop,Vision Language Models: Challenges of Real World Deployment,https://neurips.cc/virtual/2025/workshop/127831,,18:00,"Vision language models (VLMs) have demonstrated remarkable capabilities in integrating visual perception with natural language understanding, powering applications such as multimodal assistants, robotics, autonomous systems, and accessibility tools. However, their real-world deployment faces significant challenges in efficiency, scalability, and reliability. This workshop will bring together researchers and practitioners from academia and industry to highlight cutting-edge research, systems-level optimizations, and evaluation methodologies that are often overlooked yet pivotal for robust real-world integration. Efficiency, robustness, and reliability will be emphasized as core design principles, essential to advancing VLMs from experimental systems to dependable deployed technologies. By convening researchers at the intersection of multimodal learning, efficient inference and training, robustness and uncertainty estimation, and large-scale systems design, the workshop aims to establish concrete pathways toward building VLMs that can operate reliably under practical constraints. We hope this workshop will serve as a venue for exchanging insights on model design, efficiency techniques, and robustness evaluation that bridge the gap between research and real-world systems.","Overview: The VLM4RWD NeurIPS 2025 Workshop focuses on the challenges of deploying Vision Language Models (VLMs) in real-world applications. It aims to bring together researchers and practitioners to discuss cutting-edge research, systems-level optimizations, and evaluation methodologies essential for the efficient, scalable, and reliable deployment of VLMs. The workshop emphasizes the importance of efficiency, robustness, and reliability in advancing VLMs from experimental systems to dependable technologies. | Research Interests: Data pipelines for efficient multimodal learning, Accelerating VLMs inference, Compression and distillation for VLMs deployment, Sparse, modular, and retrieval-augmented VLM architectures, Efficient training for complex reasoning tasks, Robust training and evaluation of VLMs, Benchmarks for deployment-oriented evaluation, Mitigating hallucination and improving multimodal grounding, Agentic VLMs for real-world integration","海思, 计算, 诺亚, 存储, 多伦多云","海思:85, 计算:80, 诺亚:75, 存储:70, 多伦多云:60",海思:多模态条件融合加速与低延迟推理; 计算:多模态模型架构优化与前沿负载; 诺亚:图文多模态长序列处理; 存储:VLM部署中的模型与KV Cache调度; 多伦多云:Agentic VLM系统集成,海思:Workshop聚焦VLM高效推理部署，直接对应多模态融合延迟和实时响应挑战; 计算:VLM是前沿多模态负载，效率优化对计算架构有明确诉求; 诺亚:VLM的长上下文图文推理与多模态长序列技术相关; 存储:VLM部署涉及大模型和KV Cache的加载调度优化; 多伦多云:Workshop明确涵盖Agentic VLM的实际应用
"Monday, Dec 1, 2025",06:00,Workshop,Centering Low-Resource Languages and Cultures in the Age of Large Language Models,https://neurips.cc/virtual/2025/workshop/127830,,15:00,"Large Language Models (LLMs) have transformed NLP research and applications, yet they are still predominantly trained on high-resource, globally dominant languages. This imbalance leads to poor performance and limited applicability for low-resource languages, which are rich in tone, morphology, and cultural meaning. As a result, current AI systems risk reinforcing linguistic inequality, cultural erasure, and lack of accessibility in critical domains like education and healthcare.This workshop aims to reframe language technology by centering low-resource languages, cultures, and epistemologies in the age of LLMs. We seek to bring together researchers, linguists, developers, healthcare professionals, and technologists to share insights and develop strategies for building inclusive, culturally grounded, and linguistically robust language models. The workshop emphasizes collaboration across disciplines and regions to ensure both technical advancement and social relevance.Key areas of focus include developing LLM architectures tailored to low-resource linguistic features, ethical and community-centered dataset collection, and multilingual benchmarks designed specifically for underrepresented languages. We also highlight the importance of healthcare and medical machine translation to support equitable access to information and improve public health outcomes. Ultimately, this workshop aims to advance responsible AI innovation that empowers low-resource language communities and shapes a more inclusive future for global language technologies.","Overview: The CLRLC-LLMs Workshop at NeurIPS 2025 focuses on the role of Large Language Models (LLMs) in promoting multilingual and culturally inclusive AI. It addresses the underrepresentation of low-resource languages and cultures in AI research and development. The workshop aims to reframe language technology discussions by centering low-resource languages and cultures in AI innovation. It brings together researchers, linguists, developers, and technologists to share insights, challenges, and strategies for developing LLMs that support linguistic diversity and cultural identity, particularly in Africa and parts of Asia. The workshop promotes global collaboration, scalable data creation, model alignment, and ethical evaluation of LLMs, inspiring interdisciplinary research across linguistics, computer science, and engineering. | Research Interests: LLMs for low-resource languages, Culturally grounded NLP and multilingual evaluation, Dataset creation, curation, and benchmarks for African, Indigenous, and marginalized languages, Cross-linguistic transfer and model adaptation, Ethical, social, and policy dimensions of language technologies, Community-based and participatory AI approaches, Speech, ASR, and translation in low-resource settings, Human–AI interaction for linguistic and cultural inclusivity, Cognitive or sociolinguistic perspectives on AI and language, Healthcare and Biomedical Machine Translation for Low-Resource Languages","计算, 海思","计算:55, 海思:50",计算:适应低资源语言的LLM架构设计; 海思:低资源语言LLM的推理加速,计算:Workshop涉及针对语言特性的LLM架构定制，与模型架构演进趋势相关; 海思:低资源语言LLM同样需要低延迟高效推理支持
"Monday, Dec 1, 2025",06:00,Workshop,NORA: The First Workshop on Knowledge Graphs & Agentic Systems Interplay,https://neurips.cc/virtual/2025/workshop/127827,,15:00,"Agents have experienced significant growth in recent years, largely due to the rapid technological advancements of Large Language Models (LLMs). Although these agents benefit from LLMs' advanced generation proficiency, they still suffer from catastrophic forgetting and a limited context window size compared to the agents' needs in terms of contextual information.  Knowledge Graphs (KGs) are a powerful paradigm for structuring and managing connected pieces of information while unlocking deeper insights than traditional methods. Their value is immense for tasks that require context, integration, and reasoning. However, this power comes at the cost of significant upfront and ongoing investment in construction, curation, and specialized expertise.   The first version of this workshop aims at analyzing and discussing emerging and novel practices, ongoing research and validated or deployed innovative solutions that showcase the growing synergy between LLMs agents and KGs.","Overview: The NORA 2025 workshop focuses on the interplay between Knowledge Graphs (KGs) and agentic systems, particularly those enhanced by Large Language Models (LLMs). The workshop aims to explore emerging practices, research efforts, and innovative solutions that demonstrate the synergy between LLM agents and KGs. It addresses the challenges faced by agents, such as catastrophic forgetting and limited context window size, and highlights the potential of KGs in structuring and managing information for improved reasoning and integration. | Research Interests: Agentic and Knowledgeable Systems with Small Language Models, Agentic Information Extraction and Retrieval, Agentic KG Construction & Enrichment, Agents for Complex Reasoning over KGs, Agents and KGs for private and proactive personal assistants & Personalisation, Augmenting Agents with External Knowledge, Collaborative Agents for Knowledge Computing and Serving, Context Engineering enhanced by KGs, Efficient Reinforcement Learning for better performance, Graph Retrieval Augmented Generation in Agentic systems, KGs serving agents’ memories: episodic, semantic, and procedural, Multi-Lingual & Multi-modal integrations, On-Device or Hybrid (Device-Cloud) systems combining Agents and KGs, Personalisation via Agents and KGs, Personas and digital twins enabled by Agents and KGs, Theoretical and experimental analysis of close and open Domain applications scenarios","多伦多云, 存储, 计算, 诺亚","多伦多云:90, 存储:75, 计算:65, 诺亚:55",多伦多云:Agent记忆系统与知识图谱集成; 存储:Agent记忆系统(MemOS)的存储访问模式; 计算:KG增强Agentic系统的计算负载; 诺亚:模型内置记忆更新机制,多伦多云:Workshop核心议题Agentic系统完全对应其研究方向，KG作为Agent记忆的方案直接相关; 存储:Workshop明确讨论KGs作为agents' memories，对应MemOS等记忆系统的存储优化; 计算:KG-Agent协同系统是新型Agentic前沿负载; 诺亚:知识图谱的更新维护与模型记忆机制相关
"Monday, Dec 1, 2025",06:00,Workshop,7th International Workshop on Large Scale Holistic Video Understanding: Toward Video Foundation Models,https://neurips.cc/virtual/2025/workshop/127828,,15:00,"This workshop aims to advance the field of video understanding by fostering discussions around holistic and generalist video foundation models. Building upon the Holistic Video Understanding (HVU) initiative and dataset introduced in 2019, we have successfully organized eight HVU workshops and tutorials at top-tier venues such as CVPR and ICCV, uniting researchers, practitioners, and students from around the world. These efforts have played a central role in moving the community beyond narrow action recognition tasks toward multi-faceted, semantic, and generalist video understanding.With the emergence of large-scale foundation models and video large language models (Video-LLMs), the landscape of video understanding is rapidly evolving. These models enable unified reasoning across spatial, temporal, and multimodal dimensions, yet introduce new challenges in scalability, efficiency, interpretability, and responsible deployment.The HVU Workshop 2025 will provide a platform to explore these frontiers, discussing topics such as multimodal representation learning, long-context reasoning, evaluation of general-purpose video systems, efficient adaptation and scaling laws, and the ethical and societal implications of video AI. Our goal is to bring together a diverse and inclusive community to define the next chapter of holistic, generalist, and responsible video understanding.",,"CBG, 诺亚, 计算, 海思, 存储","CBG:85, 诺亚:80, 计算:75, 海思:70, 存储:60",CBG:视频物体分割与长视频生成一致性; 诺亚:视频多模态长序列推理; 计算:视频基础模型架构演进; 海思:Video-LLM长上下文推理加速; 存储:大规模视频训练的IO优化,CBG:Workshop的holistic video understanding与3DAIGC的视频理解需求高度匹配; 诺亚:Video-LLM的长上下文多模态推理是其核心研究方向; 计算:Video foundation models对计算架构提出新挑战; 海思:长视频多模态推理需要高效加速; 存储:大规模视频数据的训练访问模式优化
"Monday, Dec 1, 2025",06:00,Workshop,First Workshop on LLM Persona Modeling,https://neurips.cc/virtual/2025/workshop/127829,,15:00,"Large language models (LLMs) are increasingly used to simulate human-like personas for applications in research, education, healthcare, and interactive AI systems. While such persona modeling creates opportunities for interdisciplinary innovation, it raises challenges around authenticity, consistency, bias, and ethical deployment. This workshop brings together perspectives from AI, psychology, cognitive science, and human–computer interaction to advance robust methods, standardized evaluation frameworks, and responsible practices for persona modeling in LLMs. Through invited talks, panels, posters, and discussions, the event will chart a roadmap for interdisciplinary collaboration and future research in this emerging area.","Overview: The PersonaLLM workshop, part of NeurIPS 2025, focuses on the modeling of personas using large language models (LLMs). It aims to explore the creation of human-like personas with consistent traits and behaviors, leveraging LLMs' adaptability across diverse contexts. The workshop seeks to provide an interdisciplinary forum for discussing the conceptualization, evaluation, and ethical implications of LLM persona modeling, with applications in marketing, social science, product development, and healthcare. | Research Interests: LLM persona modeling, Instruction-following capabilities of LLMs, Personification and human-like personas, Interdisciplinary approaches in AI, psychology, and cognitive science, Evaluation methods for persona consistency and effectiveness, Social and ethical implications of anthropomorphism in LLMs, Technical innovations in LLMs, Real-world applications of LLM personas",多伦多云,多伦多云:55,多伦多云:Agent的persona一致性与行为管理,多伦多云:Workshop关注LLM persona的一致性和可靠性，与Agent行为可靠性管理有关联
