title,authors,date,time,location,abstract,website
Vision Language Models: Challenges of Real World Deployment,"Mozhgan Nasr Azadani, Yimu Wang, Krzysztof Czarnecki, Negar Arabzadeh, Richard H Bai, Lukas Schmid",Sun 30 Nov,1 p.m. PST — 8 p.m. PST,Don Alberto 4,"Vision language models (VLMs) have demonstrated remarkable capabilities in integrating visual perception with natural language understanding, powering applications such as multimodal assistants, robotics, autonomous systems, and accessibility tools. However, their real-world deployment faces significant challenges in efficiency, scalability, and reliability. This workshop will bring together researchers and practitioners from academia and industry to highlight cutting-edge research, systems-level optimizations, and evaluation methodologies that are often overlooked yet pivotal for robust real-world integration. Efficiency, robustness, and reliability will be emphasized as core design principles, essential to advancing VLMs from experimental systems to dependable deployed technologies. By convening researchers at the intersection of multimodal learning, efficient inference and training, robustness and uncertainty estimation, and large-scale systems design, the workshop aims to establish concrete pathways toward building VLMs that can operate reliably under practical constraints. We hope this workshop will serve as a venue for exchanging insights on model design, efficiency techniques, and robustness evaluation that bridge the gap between research and real-world systems.",https://mozhgan91.github.io/vlm4rwd-neurips25-ws/
NeurIPS2025 Workshop Research Development AI Mexico,"Ponciano Jorge Escamilla-Ambrosio, Jose Martinez-Carranza, MIGUEL GONZALEZ-MENDOZA",Sun 30 Nov,1 p.m. PST — 8 p.m. PST,Don Alberto 3,"The Research Development of AI in Mexico: Main Applications workshop seeks to showcase, strengthen, and connect the most impactful developments in Artificial Intelligence (AI) and Data Science emerging from Mexico and the broader Latin American region. Over the past four decades, Mexico has cultivated a robust research community in AI through pioneering contributions in areas such as computational intelligence, autonomous robotics, fuzzy systems, and natural language processing, led by institutions including CIC–IPN, INAOE, UNAM, ITESM, CINVESTAV, and Universidad Veracruzana.Today, the region is undergoing a strategic transformation, shifting from foundational research to the development of applied AI technologies addressing real-world needs in healthcare, education, agriculture, smart cities, cybersecurity, and sustainability. This evolution has been further propelled by increased access to open data, advances in computing infrastructure, and growing collaborations between academia, government, and industry.Despite these advances, Latin America faces distinctive challenges in the development and deployment of AI. These include limited funding, underrepresentation in global AI initiatives, digital inequality, and the need for responsible, inclusive, and culturally relevant AI systems. Additionally, emerging concerns related to AI ethics, algorithmic bias, and regulatory frameworks must be addressed proactively to ensure equitable and trustworthy technology adoption.This workshop aims to create a forum for researchers, students, practitioners, and policymakers to engage in meaningful dialogue about the current landscape and future directions of AI in Mexico and Latin America. By promoting interdisciplinary collaboration, the workshop will highlight impactful case studies, emerging research trajectories, and opportunities for cross-border cooperation, while fostering a shared vision for AI that is ethical, sustainable, and aligned with regional priorities.",
NeurIPS 2025 Workshop on Embodied and Safe-Assured Robotic Systems,"Hu Cao, Derui Zhu, Alois Knoll, Shangding Gu, Costas J Spanos, Yiming Tang, Qiang Hu, Jiahui Geng, Xingcheng Zhou",Sun 30 Nov,1 p.m. PST — 8 p.m. PST,Don Alberto 2,"This workshop focuses on advancing safe and quality-assured embodied robotic systems. Embodied systems—including autonomous robots, self-driving vehicles, robotic arms, and humanoid robots—are increasingly deployed in safety-critical real-world scenarios. Ensuring their trustworthiness—encompassing safety, reliability, and predictable behavior—remains a pressing challenge. Despite notable progress in perception, reasoning, and control, many AI-based robotic systems still operate as “black boxes,” often exhibiting unpredictable behaviors. Failures can emerge from complex sensorimotor interactions, adversarial inputs, or novel environments, leading to safety incidents and diminished user trust.",https://neurips.cc/virtual/2025/workshop/127833
NeurIPS 2025 Workshop on Socially Responsible and Trustworthy Foundation Models,"Canyu Chen, Yue Huang, Xiangliang Zhang, Mohit Bansal, Yejin Choi, Dawn Song, Manling Li",Sun 30 Nov,1 p.m. PST — 8 p.m. PST,Don Alberto 1,"The Socially Responsible and Trustworthy Foundation Models (ResponsibleFM) Workshop at NeurIPS 2025 Mexico City is envisioned as a vital interdisciplinary forum dedicated to advancing ethical, inclusive, and socially conscious research practices in the rapidly evolving field of foundation models, including language models and multimodal models. As foundation models are tremendously reshaping human communication, decision-making, and societal infrastructures, there is a growing recognition of the profound impacts these systems can have, both positive and negative, on individuals and communities. In particular, previous research has documented a wide range of risks and harms associated with foundation models, including but not limited to bias and discrimination, misinformation propagation, privacy violations, environmental concerns, and unintended social consequences.",https://workshop-responsible-fm.github.io/
NORA: The First Workshop on Knowledge Graphs & Agentic Systems Interplay,"Btissam Er-Rahmadi, Sebastien Montella, Damien Graux, Hajira Jabeen",Mon 1 Dec,8 a.m. PST — 5 p.m. PST,Don Alberto 4,"Agents have experienced significant growth in recent years, largely due to the rapid technological advancements of Large Language Models (LLMs). Although these agents benefit from LLMs' advanced generation proficiency, they still suffer from catastrophic forgetting and a limited context window size compared to the agents' needs in terms of contextual information. Knowledge Graphs (KGs) are a powerful paradigm for structuring and managing connected pieces of information while unlocking deeper insights than traditional methods. Their value is immense for tasks that require context, integration, and reasoning. However, this power comes at the cost of significant upfront and ongoing investment in construction, curation, and specialized expertise. The first version of this workshop aims at analyzing and discussing emerging and novel practices, ongoing research and validated or deployed innovative solutions that showcase the growing synergy between LLMs agents and KGs.",https://nora-workshop.github.io/2025/
7th International Workshop on Large Scale Holistic Video Understanding: Toward Video Foundation Models,"Mohsen Fayyaz, Vivek Sharma, Ali Diba, Shyamal Buch, Anurag Arnab, Luc V Gool, Jürgen Gall, Joao Carreira, David Ross, Ehsan Adeli, Manohar Paluri",Mon 1 Dec,8 a.m. PST — 5 p.m. PST,Don Alberto 3,"This workshop aims to advance the field of video understanding by fostering discussions around holistic and generalist video foundation models. Building upon the Holistic Video Understanding (HVU) initiative and dataset introduced in 2019, we have successfully organized eight HVU workshops and tutorials at top-tier venues such as CVPR and ICCV, uniting researchers, practitioners, and students from around the world. These efforts have played a central role in moving the community beyond narrow action recognition tasks toward multi-faceted, semantic, and generalist video understanding.With the emergence of large-scale foundation models and video large language models (Video-LLMs), the landscape of video understanding is rapidly evolving. These models enable unified reasoning across spatial, temporal, and multimodal dimensions, yet introduce new challenges in scalability, efficiency, interpretability, and responsible deployment.The HVU Workshop 2025 will provide a platform to explore these frontiers, discussing topics such as multimodal representation learning, long-context reasoning, evaluation of general-purpose video systems, efficient adaptation and scaling laws, and the ethical and societal implications of video AI. Our goal is to bring together a diverse and inclusive community to define the next chapter of holistic, generalist, and responsible video understanding.",https://neurips.cc/virtual/2025/workshop/127828
First Workshop on LLM Persona Modeling,"Yunze Xiao, Shu Yang, Zhuang Li, Lucio La Cava, Jen-Tse Huang, Andrea Tagarelli, Xintao Wang, Marco Guerini, Jiarui Liu, Jindong Wang, Mona Diab, Maarten Sap",Mon 1 Dec,8 a.m. PST — 5 p.m. PST,Don Alberto 2,"Large language models (LLMs) are increasingly used to simulate human-like personas for applications in research, education, healthcare, and interactive AI systems. While such persona modeling creates opportunities for interdisciplinary innovation, it raises challenges around authenticity, consistency, bias, and ethical deployment. This workshop brings together perspectives from AI, psychology, cognitive science, and human–computer interaction to advance robust methods, standardized evaluation frameworks, and responsible practices for persona modeling in LLMs. Through invited talks, panels, posters, and discussions, the event will chart a roadmap for interdisciplinary collaboration and future research in this emerging area.",https://personallmworkshop.github.io/
Centering Low-Resource Languages and Cultures in the Age of Large Language Models,"Joy Olusanya, Mary Salami",Mon 1 Dec,8 a.m. PST — 5 p.m. PST,Don Alberto 1,"Large Language Models (LLMs) have transformed NLP research and applications, yet they are still predominantly trained on high-resource, globally dominant languages. This imbalance leads to poor performance and limited applicability for low-resource languages, which are rich in tone, morphology, and cultural meaning. As a result, current AI systems risk reinforcing linguistic inequality, cultural erasure, and lack of accessibility in critical domains like education and healthcare. This workshop aims to reframe language technology by centering low-resource languages, cultures, and epistemologies in the age of LLMs. We seek to bring together researchers, linguists, developers, healthcare professionals, and technologists to share insights and develop strategies for building inclusive, culturally grounded, and linguistically robust language models. The workshop emphasizes collaboration across disciplines and regions to ensure both technical advancement and social relevance. Key areas of focus include developing LLM architectures tailored to low-resource linguistic features, ethical and community-centered dataset collection, and multilingual benchmarks designed specifically for underrepresented languages. We also highlight the importance of healthcare and medical machine translation to support equitable access to information and improve public health outcomes. Ultimately, this workshop aims to advance responsible AI innovation that empowers low-resource language communities and shapes a more inclusive future for global language technologies.",https://clrlcllms.github.io/CLRLCLLMs-workshop.github.io-NeurIPS-2025
Embodied World Models for Decision Making,"Yunbo Wang, Qi Wang, Mengyue Yang, Shenyuan Gao, Huazhe Xu, Xin Jin, Mingqi Yuan, Nedko Savov, Guozheng Ma, Bo Liu, Siheng Chen, Yongquan Hu, Jenny Zhang, Nicklas Hansen, Minting Pan, Luc V Gool",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 30A-E,"World models infer and predict real-world dynamics by modeling the external environment, and have become a cornerstone of embodied artificial intelligence. They have powered recent progress in decision-making and planning for interacting agents. This workshop aims to bring together researchers working at the intersection of generative modeling, reinforcement learning, computer vision, and robotics to explore the next generation of embodied world models—models that enable agents to understand, predict, and interact with the world through learned models. By focusing on embodiment and decision-making, this workshop seeks to advance world models beyond passive prediction, toward active, goal-driven interaction with the physical and virtual world. By emphasizing embodiment and decision-making, we aim to move beyond passive sequence prediction toward goal-directed interaction with both physical and simulated worlds.",https://embodied-world-models.github.io/
Differentiable Learning of Combinatorial Algorithms: From Theory To Practice,"Cathy Wu, Nikolaos Karalias, Yusu Wang, Indradyumna Roy, Abir De",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 25ABC,,
ML for Systems,"Dan Zhang, Xinlei XU, Mangpo Phothilimthana, Divya Mahajan, Haoran Qiu, Patrick Musau",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 5AB,"The 9th Machine Learning for Systems (ML for Systems) workshop brings together researchers and practitioners applying machine learning to core computer systems challenges. This year, we focus on three themes: (1) using LLMs and agentic workflows for systems tasks such as program synthesis and adaptive optimization; (2) applying ML to manage the complexity of large-scale training and serving of multimodal and reasoning models; and (3) leveraging ML for sustainable computing, including energy-, power-, and carbon-aware optimization. The workshop will feature invited talks, contributed presentations, and discussions aimed at advancing the frontier of ML for Systems research.",https://mlforsystems.org/
AI4Mat-NeurIPS-2025: NeurIPS 2025 Workshop on AI for Accelerated Materials Design,"Santiago Miret, ALEXANDRE DUVAL, Rocío Mercado, Emily Jin, N M Anoop Krishnan, Kevin Maik Jablonka, Marta Skreta, Stefano Martiniani",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 29A-D,"AI4Mat-NeurIPS-2025 explores applications of artificial intelligence (AI) to materials via: 1. AI-Guided Materials Design; 2. Automated Chemical Synthesis; 3. Automated Material Characterization. AI4MatNeurIPS-2025 emphasizes structured, expert-driven dialogue on making advanced machine learning more impactful for real-world materials discovery. To that end, AI4Mat-RLSF (Research Learning from Speaker Feedback) creates a new structured discussion format where spotlight presenters receive curated, in-depth feedback from invited discussants. Further, the AI4Mat Frontiers & Benchmarking session brings together a diverse and distinguished set of speakers to critically examine current benchmarks, present state-of-the-art methods, and identify emerging opportunities and current limitations in AI-driven materials design.",https://sites.google.com/view/ai4mat
Workshop on Multi-Turn Interactions in Large Language Models,"Simon Yu, Bo Liu, Yifei Zhou, Mickel Liu, Kai Zhang, Hanxu Hu, Leon Guertler, Leshem Choshen, Weiyan Shi",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 11AB,"The field of AI is entering a new era of interaction, profoundly shaped by the capabilities of Large Language Models (LLMs). While multi-turn interaction has been a long-standing pursuit in AI—from dialogue systems to multi-agent coordination—the advent of LLMs has radically transformed this landscape. These models now engage in complex, long-horizon interactions, process diverse data, and make crucial decisions in dynamic, human-centric scenarios. This leap forward, however, brings forth critical new research questions and challenges that demand immediate attention: Multi-Turn RL Learning for Agentic Tasks Learning from complex, interactive environments like GUI agents and tool-use scenarios, given the challenges of sparse rewards. Maintaining Alignment Understanding human values over extended, multi-turn interactions, preventing ""loss of alignment"" seen in current models. Human-AI Interaction Over time, ensuring models adapt to user goals without compromising safety or fairness. Long-horizon Evaluation For LLMs' long-term capabilities, consistency, and strategic abilities in complex, multi-turn tasks. The Workshop on Multi-Turn Interactions in LLMs is designed to be the central forum for addressing these pivotal questions. We invite researchers to contribute to defining the next generation of interactive AI, tackling these core challenges, and charting the course for future advancements in AI reasoning and planning. This workshop will concentrate on key areas where the extended use of LLMs presents both new challenges and opportunities, serving as a platform to discuss and refine methods for future improvements and evaluation for practical LLM use cases.",https://workshop-multi-turn-interaction.github.io/
"Dynamics at the Frontiers of Optimization, Sampling, and Games","Tatjana Chavdarova, Dilsad ER, Niao He, Michael Jordan, Eric Moulines, Michael Muehlebach, Molei Tao, Andre Wibisono",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 7,,https://sites.google.com/view/dynafrontneurips25
Second Workshop on Aligning Reinforcement Learning Experimentalists and Theorists (ARLET),"Marco Mussi, Till Freihaut, Antoine Moulin, Giorgia Ramponi, Dirk van der Hoeven, Alberto Maria Metelli, Felix Berkenkamp, Francesco Trovò, Csaba Szepesvari",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 31ABC,"Recent progress in reinforcement learning (RL) has powered breakthroughs in various real-world problems, gathering considerable attention and investment. However, it has also exposed a significant gap between theoretical and experimental developments. RL theory has grown significantly in the past two decades. Research has characterized the inherent difficulty of various settings and has designed a wide variety of algorithms to reach optimal performances. Furthermore, a huge leap has been made in understanding how to handle large state spaces using function approximation techniques, identifying key structural properties that enable efficient learning. Despite theoretical guarantees, applying RL algorithms to complex problems faces challenges. Theoretical algorithms often focus on simplified settings, making them hard to apply to real-world complexities. Furthermore, optimizing for worst-case scenarios, which include unlikely situations, can lead to algorithms that perform poorly on practical tasks. Yet, while specialized algorithms offer empirical success, they might not translate to other problems due to their specific design, and the reliance on heuristics and engineering fixes further widens the gap between theory and practice. A prominent area that has seen a surge of interest in RL is generative language modeling. Pre-training these models can be viewed as a form of imitation learning, while post-training typically implements RL algorithms for purposes like instruction tuning with RL from human feedback or enhancing reasoning capabilities. While these successes make the practical utility of RL undeniable, the RL community finds itself at a crossroads. The algorithms employed are frequently variants of classical methods, and exploring beyond these presents a key challenge. Conversely, the success of these models prompts new questions for RL theory, suggesting that frameworks leveraging pre-trained models might offer a more effective paradigm than learning from scratch under traditional assumptions. Following the success of the ICML 2024 edition, the Second Workshop on Aligning Reinforcement Learning Experimentalists and Theorists (ARLET) aims to bridge this discrepancy and promote collaboration. By bringing together experts from both sides, we want to facilitate meaningful discussions and draw a path for future RL research. Motivated by the take-home messages from the previous edition, we seek to encourage: (i) theorists to ask experimentalists for concrete problems to solve, and (ii) experimentalists to seek theoretical guidance on how to approach these problems.",https://arlet-workshop.github.io
AI Virtual Cells and Instruments: A New Era in Drug Discovery and Development,"Quanquan Gu, Michelle Li, Chong Liu, Xuefeng Liu, Abhishek Pandey, Nataša Tagasovska, Marinka Zitnik",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 28A-E,"As the US FDA phases out animal testing requirements for drug discovery and development, AI tools will become widely adopted to simulate the effects of candidate drugs. We posit that building virtual cells and instruments with AI is poised to transform drug discovery and development by enabling large-scale simulation and interrogation of molecules, cells, and tissues. In our workshop, we will collaboratively define and promote this emerging scientific paradigm of AI to accelerate the drug discovery and development process in this new era.",https://ai4d3.github.io/2025/index.html
GenProCC: 1st Workshop on Generative and Protective AI for Content Creation,"Wei-Yao Wang, Takashi Shibuya, vali lalioti, Wei Wang, Shusuke Takahashi, Yuki Mitsufuji",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 23ABC,"Recent advancements in generative AI (GenAI) have empowered machines to create high-quality content across diverse modalities - text, image, audio, and video - with impressive fluency and creativity. From GPT-4o and Stable Diffusion to Sora and MMAudio, the explosion of X-to-X generation (e.g., text-to-image, video-to-audio) is unlocking new frontiers in science, education, entertainment, and art. While GenAI has shown significant potential in creative applications (e.g., music, films, arts), these breakthroughs also raise pressing concerns related to safety, copyright, and ethical use. Generative models can be exploited to spread misinformation, violate intellectual property rights, or diminish human agency in creative processes. As such, there is an increasing need to balance innovation with protection, ensuring that AI-powered creative tools are used responsibly and ethically. This workshop, GenProCC: Generative and Protective AI for Content Creation, brings together researchers, creators, and practitioners at the intersection of content generation and IP protection. By uniting the generative AI and creator communities, the GenProCC workshop aims to explore the latest advances, challenges, and opportunities in the rapidly evolving field.",https://genprocc.github.io/
What Makes a Good Video: Next Practices in Video Generation and Evaluation,"Xinting Hu, Yongliang Wu, Anna Kukleva, Zhicai Wang, Chenyang Si, Li Jiang, Gang Yu, Xu Yang, Ziwei Liu, Bernt Schiele",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Ballroom 6B,"This workshop aims to explore how real-world advances in video generation increasingly rely on forwardlooking evaluation frameworks and to collaboratively shape the next generation of high-quality video synthesis. Through a combination of invited talks, academic presentations, and expert discussions featuring leading voices from both academia and industry, the workshop bridges academic foundations and industrial insights across the modeling, evaluation, and deployment of video generation. We welcome contributions from computer vision, generative modeling, video-language learning, evaluation methodology, and human-centered AI to shape the next generation of high-quality video synthesis collaboratively.",https://what-makes-good-video.github.io/
CauScien: Uncovering Causality in Science,"Dingling Yao, Jiaqi Zhang, Piersilvio De Bartolomeis, Ying Jin, Alexander D\'Amour, Caroline Uhler, Kun Zhang, Francesco Locatello",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 8,,https://sites.google.com/view/causcien
UniReps: Unifying Representations in Neural Models,"Marco Fumero, Zorah Laehner, Irene Cannistraci, Clémentine Dominé, Bo Zhao, Alex Williams",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Ballroom 20D,"When, how and why do different neural models learn the same representations? New findings in neuroscience and artificial intelligence reveal a shared pattern: whether in biological brains or artificial models, different learning systems tend to create similar representations when subject to similar stimuli. The emergence of these similar representations is igniting a growing interest in the fields of neuroscience and artificial intelligence, with both fields offering promising directions for their theoretical understanding. These include analyzing the learning dynamics in neuroscience and studying the problem of identifiability in the functional and parameter space in artificial intelligence. While the theoretical aspects already demand investigation, the practical applications are equally compelling: aligning representations allows for model merging, stitching and reuse, while also playing a crucial role in multi-modal scenarios. Furthermore, studying the features that are universally highlighted by different learning processes brings us closer to pinpoint the invariances that naturally emerge from learning models, possibly suggesting ways to enforce them. The objective of the workshop is to discuss theoretical findings, empirical evidence and practical applications of this phenomenon, benefiting from the cross-pollination of different fields (ML, Neuroscience, Cognitive Science) to foster the exchange of ideas and encourage collaborations. In conclusion, our primary focus is to delve into the underlying reasons, mechanisms, and extent of similarity in internal representations across distinct neural models, with the ultimate goal of unifying them into a single cohesive whole.",https://unireps.org/2025/
ML x OR: Mathematical Foundations and Operational Integration of Machine Learning for Uncertainty-Aware Decision-Making,"Jose Blanchet, Jing Dong, Henry Lam, Min-hwan Oh, Qiaomin Xie, Yao Xie, Assaf Zeevi, Enlu Zhou",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 26AB,"Much of traditional decision-making science is grounded in the mathematical formulations and analyses of structured systems to recommend decisions that are optimized, robust, and uncertainty-aware. This scientific approach, rooted in the field of Operations Research (OR), has evolved through decades of advancements in stochastic modeling, computational simulation and optimization, and exhibits key strengths in methodological rigor and uncertainty encoding. On the other hand, recent advances in the AI/ML space have eschewed this model-based paradigm and increasingly embraced, to great success, model-free algorithmic design frameworks. This workshop, which is the first NeurIPS workshop explicitly themed and structured on ML-OR synergization, aspires to present recent developments, challenges and emerging research to accelerate ML-OR synthesis. By integrating ML into established OR methodologies, we have the opportunities to produce more data-centric and adaptive solutions for complex decision-making tasks that could propel, in a much faster-paced manner, the frontier of ""optimality"" across many relevant applications. Concomitantly, the goal is also to explore how model-based principled OR approaches can help alleviate issues revolving around ""black box"" systems, and provide paths to enhance interpretability, trust, and performance analysis.",https://mlxor-workshop.github.io/
The First Workshop on Efficient Reasoning,"cheng Luo, Xinyu Yang, Simran Arora, Weijia Shi, Hanshi Sun, Songlin Yang, Luca Zancato, Jiawei Zhao",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Exhibit Hall F,"Recent progress in large reasoning models (LRMs), like OpenAI o1 and Deepseek R1, has been pivotal for tackling complex applications, from mathematical and code reasoning to advanced symbolic and agentic planning. Their success often relies on test-time scaling, which involves increasing the generation length or depth. However, these approaches incur significant efficiency bottlenecks during training and inference. To overcome these limitations, further advancements are needed in data, algorithms, and systems applicable across various domains, as exemplified by work such as s1, Z1, and verl. The proposed workshop will bring together researchers and practitioners to rethink efficient reasoning under tight compute, memory, latency, throughput, and cost budgets, with the goal of translating theoretical breakthroughs into practical, deployable solutions.",https://efficient-reasoning.github.io/
Imageomics: Discovering Biological Knowledge from Images Using AI,"Jianyang Gu, Sam Stevens, Zheda Mai, Kaiya Provost, Lily Weng, Sara Beery, Subhransu Maji, Anuj Karpatne, Ben Weinstein",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 32AB,"Imageomics is an emerging interdisciplinary field at the crossroads of machine learning (ML), computer vision (CV), and biological sciences. It leverages visual data—from microscopic images of single-cell species to videos of megafauna—to extract and analyze biological information, specifically traits. By grounding ML models in existing scientific knowledge, Imageomics aims to make traits computable from images, facilitating insights into the evolution and function of living organisms. Imageomics poses research problems that resonate with the broad machine-learning community: multimodal representation learning, object detection and tracking, few-shot learning, imbalanced-class learning, video understanding, 3D modeling, hierarchical learning, etc. When people leverage ML tools to solve biological questions, the foundational bridges between ML and biological sciences also provide opportunities to address key challenges in ML, creating a virtuous cycle between the two fields.",https://imageomics.github.io/Imageomics-NeurIPS-2025/
Deep Learning for Code in the Agentic Era,"Zijian Wang, Giovanni Zappella, Qian Liu, Zora Wang, Wen-Ding Li, Wasi Uddin Ahmad, Binyuan Hui",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,"Exhibit Hall G,H","Deep learning for code has progressed from focused tasks—such as completion, repair, synthesis, and explanation to tackling complex, end-to-end software–engineering problems. A key recent breakthrough is the rise of coding agents. Unlike single-shot models, these systems plan, reason, explore, and invoke external tools to assist throughout the software-development lifecycle: adding features, refactoring, debugging, finding vulnerabilities, optimizing performance, summarizing code, and answering repository-level questions. Their growing versatility demands rigorous evaluation and a deeper understanding of their capabilities, limits, risks, and broader social impact. Building on momentum from both academia and industry (e.g. Google, OpenAI, Anthropic, SWE-Agent, OpenHands), we propose the 4th Deep Learning for Code (DL4C) workshop with a dedicated focus on coding agents. This workshop will provide a timely forum where researchers and practitioners can design and stress-test robust coding agents, discover novel applications and emergent behaviors, establish principled benchmarks and evaluation methods, study human–agent collaboration at scale, and advance the responsible, safe deployment of autonomous coding tools.",https://dl4c.github.io
Generative AI in Finance,"Renyuan Xu, Randall Balestriero, Jiawei He, Yongjae Lee, Zhangyang ""Atlas"" Wang, Yu Yu, Yinbin Han",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 3,"This workshop aims to foster cross-disciplinary collaboration at the intersection of generative AI and finance, a high-stakes domain where the integration of domain expertise is essential to the safe and effective deployment of machine learning technologies. Recent advances in generative models—ranging from large language models to diffusion and score-based generative architectures—have opened new frontiers for applications in finance, such as financial modeling, stress testing, scenario generation, automated financial services, and decision-making under uncertainty. The workshop will highlight theoretical advances, practical implementations, new opportunities, and open challenges that arise when adapting generative AI to financial systems under unique constraints, such as data sparsity, regulatory requirements, and highly non-stationary and adversarial environments. By bringing together the computer science community, financial researchers, industry practitioners, and regulators, we aim to catalyze interdisciplinary dialogue and accelerate the responsible development of generative AI tailored to the needs of finance and risk management.",https://sites.google.com/view/neurips-25-gen-ai-in-finance/home
MATH-AI: The 5th Workshop on Mathematical Reasoning and AI,"Kaiyu Yang, Sophia S. Han, Pan Lu, Wei Xiong, Eric Zelikman, Yong Lin, Zhizhen Qin, Soonho Kong, He He, Dawn Song, Sanjeev Arora",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Ballroom 6A,,https://mathai2025.github.io/
"The Second Workshop on GenAI for Health: Potential, Trust, and Policy Compliance","Jiawei Xu, Tiange Xiang, Pranav Rajpurkar, Junyuan Hong, Changan Chen, Ehsan Adeli, Xiaoxiao Li, Georgios Pavlakos, Scott Delp, Fei-Fei Li, Ying Ding",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 33ABC,"Generative AI (GenAI) has emerged as a transformative force in healthcare, yet public trust remains limited due to safety concerns and policy misalignment. Building on last year’s successful GenAI4Health workshop, the field has rapidly evolved from exploratory research to real-world clinical deployments, accompanied by FDA regulatory involvement and expanding global governance frameworks. This second workshop convenes machine learning researchers, healthcare professionals, and policy experts to address the critical intersection of GenAI innovation and regulatory compliance in health applications. We will examine trustworthiness challenges in large language models and multimodal foundation models, explore mitigation strategies, and foster dialogue between technical and policy communities. Our goal is to advance safe, effective, and ethically-compliant GenAI integration in healthcare systems, improving patient outcomes and clinical research capabilities.",https://genai4health.github.io/
Algorithmic Collective Action,"Elliot Creager, Nicholas Vincent, Celestine Mendler-Dünner, William Agnew, Hanlin Li, Ulrich Aïvodji",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 4,"The study of collective action has a long history in economics and sociology as a way for groups of people to impact markets and the political arena. Algorithmic collective action focuses on the study of such coordinated efforts in algorithmically-mediated sociotechnical systems. How can participants of AI systems coordinate towards socially beneficial outcomes? We offer a platform to discuss new ideas and help define the foundational research directions for this emerging topic through interdisciplinary discussions between core ML researchers, scholars from the social sciences, community stakeholders and advocates.",https://acaworkshop.github.io/
