title,authors,date,time,location,abstract,website
"Lock-LLM Workshop: Prevent Unauthorized Knowledge Use from Large Language Models - Deep Dive into Un-Distillate, Un-Finetunable, Un-Compressible, Un-Editable, and Un-Usable","Tianlong Chen, Ang Li, Furong Huang, Avi Schwarzschild, Neil Gong, Bo Li, Yuxiong He",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 1AB,"Large Language Models (LLMs) have emerged as transformative tools across research and industry, revolutionizing how we interact with information. However, their immense capabilities bring critical security challenges—the same features that drive innovation can be exploited for malicious purposes through unauthorized distillation, fine-tuning, compression, or editing. These vulnerabilities pose severe threats, including intellectual property theft, the generation of sophisticated disinformation, the bypass of safety alignments, and the erosion of user trust in AI systems. This workshop aims to bring together researchers and practitioners from academia and industry who are advancing the frontiers of LLM security and protection. We seek to confront the unauthorized use of LLMs head-on by exploring novel and robust mechanisms designed to make these models inherently resistant to exploitation while maintaining their beneficial capabilities. The workshop also hosts the 2025 TrustAI Rising Star Award. Topics of interest include, but are not limited to: 1. Un-Distillable LLMs: Preventing unauthorized model replication and intellectual property theft 2. Un-Finetunable LLMs: Resisting malicious parameter updates and behavior alterations 3. Un-Compressible LLMs: Maintaining model integrity against unauthorized compression 4. Un-Editable LLMs: Safeguarding against knowledge tampering and misinformation injection 5. Un-Usable LLMs: Ensuring traceability and preventing misuse through watermarking and verification",https://lock-llm.github.io/
Structured Probabilistic Inference and Generative Modeling,"Yuanqi Du, Dinghuai Zhang, Jiajun He, Heli Ben-Hamu, Francisco Vargas, Yunan Yang, Animashree Anandkumar, Arnaud Doucet, José Miguel Hernández-Lobato",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Ballroom 20C,,https://spigmworkshopv3.github.io/
Foundation Models for the Brain and Body Workshop,"Mehdi Azabou, Cole Hurwitz, Sophia Sanborn, Sana Tonekaboni, Paul Scotti, Nanda H Krishna, Pierre Guetschel",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 24ABC,,https://brainbodyfm-workshop.github.io
Biosecurity Safeguards for Generative AI,"ZAIXI ZHANG, Amrit Singh Bedi, Mengdi Wang, Ruofan Jin, Le Cong, Souradip Chakraborty, Alvaro Velasquez",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 27AB,,
AI and ML for Next-Generation Wireless Communications and Networking (AI4NextG @ NeurIPS’25),"Cong Shen, Christopher Brinton, Gauri Joshi, Hyeji Kim, Osvaldo Simeone, Shiqiang Wang, Taesang Yoo, Jun Zhang",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 10,"The field of wireless communications and networking is undergoing a paradigm shift, driven by the growing potential of Artificial Intelligence (AI) and Machine Learning (ML) to redefine traditional system design principles. This workshop aims to catalyze interest and foster collaboration between the AI/ML and wireless communications communities. The timing of this workshop is especially significant, as the next-generation (NextG) wireless standardization efforts (such as 6G and WiFi 9) are just getting started, with AI-native technologies expected to play a central role across all aspects of the wireless ecosystem – from radio access to network management and edge intelligence. NextG represents a foundational shift in global infrastructure, enabling ultra-fast, low-latency, and intelligent connectivity that will power future applications in AI, robotics, immersive environments, and autonomous systems. These technologies offer unprecedented opportunities to both drive and benefit many applications, from healthcare and transportation to industrial automation and environmental monitoring. The economic and societal implications are vast: NextG networks will underlie trillions in global GDP impact, bridge digital divides, and shape how billions of people interact with technology and each other in the decades to come. Despite the clear promise, a significant disconnect exists between the AI/ML and wireless research communities. AI/ML experts often lack an understanding of the unique physical, algorithmic, and architectural constraints inherent in wireless systems, while wireless researchers tend to adopt generic, off-the-shelf AI/ML models that are not optimized for the intricacies of wireless environments. Wireless environments are inherently dynamic, high-dimensional, and partially observable. These unique characteristics make them ideal testbeds for developing robust learning algorithms, particularly in areas like online learning, reinforcement learning, and in-context learning. At the same time, AI/ML techniques are becoming essential for managing the growing complexity of modern wireless networks, including resource allocation, interference mitigation, and cross-layer optimization. Bridging the gap between the two communities is not only necessary for meaningful technological advances but also critical for realizing the full societal impact of intelligent wireless systems. This workshop aims to bring together researchers and practitioners at the intersection of artificial intelligence (AI), machine learning (ML), and wireless to address the unique challenges and opportunities posed by Next-Generation (NextG) wireless systems. As the 6G era begins to take shape, AI-native designs have emerged as a cornerstone of wireless innovation, with the potential to transform the performance, efficiency, and adaptability of communication systems. The integration of AI/ML is poised to influence every layer of the network stack, from physical-layer signal processing to network control and resource management.",https://ai4nextg.github.io/
Machine Learning and the Physical Sciences,"Nicole Hartman, Garrett Merz, Vinicius Mikuni, Mariel Pettee, Sebastian Wagner-Carena, Antoine Wehenkel, Atilim Gunes Baydin, Kyle Cranmer, Siddharth Mishra-Sharma, Benjamin Nachman, Brian Nord, Savannah Thais",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Ballroom 6CF,"The Machine Learning and the Physical Sciences (ML4PS) workshop at NeurIPS is a unique gathering space for the growing community spearheading cross-cutting research topics at the intersection of machine learning (ML) and the physical sciences (PS). This includes the applications of ML to problems in the physical sciences (ML for PS) as well as developments in ML motivated by physical insights (PS for ML). The physical sciences are defined inclusively, including but not limited to physics, astronomy, cosmology, chemistry, biophysics, materials science, and Earth science. Join us to discuss the latest research at the convergence of these fields!",https://ml4physicalsciences.github.io/
Reliable ML from Unreliable Data,"Andrew Ilyas, Alkis Kalavasis, Anay Mehrotra, Manolis Zampetakis",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 2,"Distributions shift, chatbots get jail‑broken, users game algorithms — how do we build reliable machine learning when data are missing, corrupted, or strategically manipulated? This workshop bridges theory and practice to tackle these challenges, bringing together researchers working on distribution shift, adversarial robustness, and strategic behaviour to chart principled yet deployable solutions for Reliable ML from Unreliable Data.",https://reliablemlworkshop.github.io/
OPT 2025: Optimization for Machine Learning,"Cristóbal Guzmán, Courtney Paquette, Misha Belkin, Zakaria Mhammedi, Frederik Kunstner, Sebastian Stich",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Ballroom 20A,"Optimization lies at the heart of many machine learning algorithms and enjoys great interest in our community. Indeed, this intimate relation of optimization with ML is the key motivation for the OPT series of workshops. We aim to foster discussion, discovery, and dissemination of state-of-the-art research in optimization relevant to ML. The focus of OPT 2025 is on ""Statistics Meets Optimization"". Since its inception, stochastic optimization has been grounded in statistical principles. Today, many of the most pressing challenges in machine learning—such as generalization bounds, the training dynamics of overparameterized models, and the development of generative models—are directly inspired by statistical thinking. At the same time, the scale and complexity of modern datasets, along with the increasingly rich model classes used to represent them, pose new questions about how optimization algorithms interact with these structures—both computationally and statistically. For example, what role do data symmetries play in shaping optimization trajectories? How do statistical properties of the data affect the adaptivity and efficiency of learning algorithms? And how can optimization approaches be designed to scale with data while still preserving desirable statistical behavior? OPT 2025 will explore these questions with the goal of building bridges between the statistics and optimization communities, and highlighting their shared impact on the theory and practice of machine learning. We are looking forward to seeing you all at OPT 2025, which will take place at the San Diego Convention Center!",https://opt-ml.org
AI for non-human animal communication,"Ellen Gilsenan-McMahon, Brittany Solano",Sat 6 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 9,"The past few years have seen an unprecedented surge in both the availability of bioacoustic data and the sophistication of AI/machine learning models. This convergence presents a unique window of opportunity to revolutionize our understanding of animal communication and biodiversity. However, achieving this requires a conscious effort to integrate the disciplines of AI/Machine Learning and Ethology. This workshop will explore the intersection of artificial intelligence (AI) and bioacoustics, aiming to address challenges in processing complex bioacoustic data and interpreting animal signals in order to advance our understanding of non-human animal communication. Join us for a poster session, keynote talks and a panel discussion as we explore key opportunities to use AI to decipher animal languages and thus deepen our understanding of the natural world.",https://aiforanimalcomms.org/
Constrained Optimization for Machine Learning,"Juan Ramirez, Meraj Hashemizadeh, Ignacio Hounie, Juan Elenter, Katya Scheinberg, Alejandro Ribeiro, Simon Lacoste-Julien",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Ballroom 6DE,"As AI systems are increasingly deployed in safety-critical domains—including credit scoring, medical diagnosis, and autonomous systems—there is a growing demand to ensure their fairness, safety, robustness, and interpretability, alongside stronger calls for regulation. Constrained optimization offers an accountable framework for enforcing these requirements by embedding them directly into the training process, steering models to satisfy explicit constraints. This framework facilitates compliance with regulatory, industry, or ethical standards, which can be easily verified by checking constraint satisfaction. This workshop explores constrained optimization as a principled method for enforcing desirable properties in machine learning models. It brings together experts in optimization, machine learning, and trustworthy AI to address the algorithmic and practical challenges of scaling constrained methods to modern deep learning settings, which are often large-scale, non-convex, and stochastic.",https://constrained-opt-ml.github.io/
Artificial Intelligence for Music: Where Creativity Meets Computation,"Hao-Wen Dong, Zachary Novack, Yung-Hsiang Lu, Kristen Yeon-Ji Yun, Benjamin Chou",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 27AB,"This workshop explores the dynamic intersection of AI and music, a rapidly evolving field where creativity meets computation. The goal of this workshop is twofold: First, we aim to explore the latest advancements of AI’s applications for music, from analysis, creation, performance, production, retrieval to music education and therapy. Second, we aim to discuss the impacts and implications of AI in music, including AI’s impacts on the music industry, musician community, and music education as well as ethical, legal and societal implications of AI music and AI’s implications for future musicians.",https://aiformusicworkshop.github.io/
2nd Workshop on Multi-modal Foundation Models and Large Language Models for Life Sciences,"Pengtao Xie, James Zou, Le Song, Ruishan Liu, Aidong Zhang, Eran Segal, Wei Wang, Li Zhang",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 31ABC,,https://nips2025fm4ls.github.io/index.html
Workshop on Scaling Environments for Agents,"Yuan He, Guohao Li, Yi R. (May) Fung, Qingyun Wang, Fangru Lin, Xingyue Huang, Alisia Lupidi, Yusheng Su, Ziyu Ye, Da Yin, Ziyi Yang, Jialin Yu, Sunando Sengupta, Rishabh Agarwal, Bernard Ghanem, Animashree Anandkumar, Philip Torr",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 23ABC,"The development of intelligent agents – particularly those powered by large language models (LLMs) – has emphasized the critical role of environments in shaping agent behavior and capabilities, especially for achieving end-to-end autonomy. Environments are not merely testing grounds; they are dynamic, interactive contexts that serve as the essential ""data"" for agents to learn adaptive behavior, complex reasoning, and long-term decision-making skills. Just as scaling the model size, dataset size, and training computation has led to emergent capabilities in LLMs, scaling the structure, fidelity, and diversity of environments is one of the crucial dimensions in advancing agent intelligence. Moreover, recent advances in end-to-end reinforcement learning (RL), particularly when paired with LLM-based agents, have made it increasingly viable to train agents through sustained interaction. These agents can now acquire skills, strategies, and planning abilities through environmental feedback, rather than relying solely on imitation learning or static prompt engineering. As we move toward more autonomous, general-purpose agents, the need for scalable, richly interactive, and diverse environments has become both urgent and foundational.",https://sea-workshop.github.io
CogInterp: Interpreting Cognition in Deep Learning Models,"Eric Bigelow, Jennifer Hu, Ekdeep S Lubana, Kanishk Gandhi, Laura Ruis, Thomas Fel, Ellie Pavlick, Noah Goodman",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 5AB,"Recent innovations in deep learning have produced models with impressive capabilities, achieving or even exceeding human performance in a wide range of domains. A timely and critical challenge in AI is understanding what behaviors these models are actually capable of, and the internal processes which support these behaviors. As interest continues to grow in models’ internal processes, the field of cognitive science is becoming increasingly useful for describing and understanding cognition in deep learning models: cognitive science, which seeks to describe the cognitive processes in human and animal minds, offers a rich body of theories, experiments, and frameworks which may be adopted to understand how deep learning models achieve complex behaviors in domains such as language, vision, and reasoning. The workshop will focus on Cognitive Interpretability (“CogInterp”), which involves the systematic interpretation of high-level cognition in deep learning models. Similar to how cognitive science describes the intermediate representations and algorithms (or cognition) between behavior and neurons in biological systems, the goal of Cognitive Interpretability is to describe the cognitive processes which lie between the levels of behavioral evaluations and mechanistic interpretability in deep learning models. Practically speaking, this means that Cognitive Interpretability does not just ask whether a model can perform task X or has a certain ability Y , but additionally (or instead) how a model performs X or learns and implements Y . These kinds of inferences—from observable behavior to latent “mental” processes—are the bread and butter of cognitive science, but many of the theoretical and empirical tools developed to tackle these problems have not yet been widely adopted in AI research, in part because of the separation between the fields and communities. To address the gap above, our goal is to bring together researchers in cognitive science and AI interpretability to discuss new empirical results and theories about the inner workings of deep learning models. We hope to gather perspectives from various disciplines, including machine learning, psychology, linguistics, vision science, neuroscience, philosophy of mind, and law.",https://coginterp.github.io/neurips2025/
"NeurIPS 2025 Workshop on Space in Vision, Language, and Embodied AI","Ziqiao Ma, Freda Shi, Jiayuan Mao, Jiafei Duan, Manling Li, David Hsu, Parisa Kordjamshidi",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 29A-D,,https://space-in-vision-language-embodied-ai.github.io/
Workshop on Mechanistic Interpretability,"Neel Nanda, Martin Wattenberg, Sarah Wiegreffe, Atticus Geiger, Julius Adebayo, Kayo Yin, Fazl Barez, Lawrence Chan",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 30A-E,,https://mechinterpworkshop.com
"Evaluating the Evolving LLM Lifecycle: Benchmarks, Emergent Abilities, and Scaling","Berivan Isik, Beyza Ermis, Nithya Attaluri, Rishi Bommasani, Marius Hobbhahn, Yangjun Ruan, Diyi Yang",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 2,,https://sites.google.com/corp/view/llm-eval-workshop
Symmetry and Geometry in Neural Representations,"Francisco Acosta, Chase van de Geijn, Simone Azeglio, Christian A Shewmake, Sophia Sanborn, Nina Miolane",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Ballroom 6A,"The fields of biological and artificial intelligence are increasingly converging on a shared principle: the geometry and topology of real-world structure play a central role in building efficient, robust, and interpretable representations. In neuroscience, mounting evidence suggests that neural circuits encode task and environmental structure through low-dimensional manifolds, conserved symmetries, and structured transformations. In deep learning, principles such as sparsity, equivariance, and compositionality are guiding the development of more generalizable and interpretable models, including new approaches to foundation model distillation. The NeurReps workshop brings these threads together, fostering dialogue among machine learning researchers, neuroscientists, and mathematicians to uncover unifying geometric principles of neural representation. Just as geometry and symmetry once unified the models of 20th-century physics, we believe they may now illuminate the computational foundations of intelligence.",https://www.neurreps.org/
"LAW 2025: Bridging Language, Agent, and World Models for Reasoning and Planning","Zhen Wang, Ziqiao Ma, Jessy Lin, Melanie Sclar, Jianwen Xie, Kelsey Allen, Alane Suhr, Jacob Andreas, Tianmin Shu, Zhiting Hu",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Ballroom 20D,,https://sites.google.com/view/law-2025
GPU-Accelerated and Scalable Optimization (ScaleOpt),"Parth Nobel, Fangzhao Zhang, Maximilian Schaller, Alexandre Amice, Tobia Marcucci, Tetiana Parshakova, Stephen Boyd",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 9,"Recent advancements in GPU-based large-scale optimization have been remarkable. Recognizing the revolution in optimizing neural network weights via large-scale GPU-accelerated algorithms, the optimization community has been interested in developing general purpose GPU-accelerated optimizers for various families of classic optimization problems, including linear programming, general conic optimization, combinatorial optimization, and more specific problem families such as flow optimization and optimal transport. Beyond deploying GPUs directly at classical problems, current frontier AI tools—including large language models (LLMs)—are being deployed to solve optimization problem. Various works have used neural networks to solve mixed integer problems, linear or quadratic programs, general combinatorial optimization problems, and more specific optimization problems such as LASSO and robust PCA. In this workshop, we aim to provide a platform for interested researchers to engage with each other on recent breakthroughs and current bottlenecks in designing large-scale GPU-based optimizers and synergizing AI systems with solving optimization problems.",https://cvxgrp.org/scaleopt
Data on the Brain and Mind,"Catherine Ji, Vivek Myers, Archer Wang, Benjamin Eysenbach, Jenelle Feather, Erin Grant",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 10,,https://data-brain-mind.github.io/
Foundations of Reasoning in Language Models,"Audrey Huang, Adam Block, Sadhika Malladi, Will Merrill, Tatsunori Hashimoto, Dylan J Foster, Akshay Krishnamurthy, Pavel Izmailov",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 33ABC,"Our workshop’s goal is to advance foundational understanding, principled innovations, and rigorous scientific evaluations for reasoning in language models. These advancements are built upon theoretical analyses and controlled empirical studies that illuminate how reasoning emerges, where it fails, and how it can be systematically improved. We want to foster dialogue between communities with complementary strengths---those building theoretical models of reasoning phenomena, those designing experiments that reveal its emergence or failure in practice, and those proposing algorithmic developments that advance reasoning---around three primary questions: 1. How are language models able to solve complex tasks, and what do they still struggle with? 2. What fundamental challenges stand in the way of advancing reasoning capabilities? 3. What algorithmic innovations can overcome these obstacles?",https://reasoning-workshop.github.io/
Learning from Time-Series for Health,"Max Xu, Hyewon Jeong, Wanting Mao, Girish Narayanswamy, Sujay Nagaraj, Tom Hartvigsen, Xin Liu, Sana Tonekaboni, James Rehg",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 28A-E,"Time-series data underpin modern healthcare, spanning electronic health records, physiological waveforms, wearables, and population trends, yet their unique characteristics—including uncertain ground truth, quasi-periodic physiological motifs, and non-semantic timepoints—demand specialized machine learning approaches. While recent advances in foundation models, multimodal learning, and generative methods show promise, significant challenges remain in causality, interpretability, and deployment. This workshop unites researchers across health time-series domains (from wearables to clinical systems) to address shared challenges through: (1) cross-domain discussion, (2) diverse industry/academic perspectives (featuring Google, Oura, Apple and 5 institutions), and (3) community engagement via posters, talks, and panels. By fostering cross-domain collaboration on physiological-aware methods, we aim to bridge the gap between cutting-edge ML and real-world healthcare impact.",https://timeseries4health.github.io/
Multimodal Algorithmic Reasoning Workshop,"Anoop Cherian, Kuan-Chuan Peng, Suhas Lohit, Honglu Zhou, Kevin Smith, Josh Tenenbaum",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 11AB,"Large AI frameworks have been increasing in their data modeling abilities at an ever more vigor in recent times, with compelling applications emerging frequently, many of which may even appear to challenge human intelligence. Yet despite such impressive performance, there remain open questions about whether these models include the foundations of general intelligence, or whether they perform these tasks without human-like understanding. This necessitates development of better tools for assessing these models in tandem with developing the models themselves. This workshop focuses on the topic of multimodal algorithmic reasoning, where an agent needs to assimilate information from multiple modalities towards deriving reasoning algorithms for complex problem solving. In the last year, we have seen rapid advances in AI capabilities that better bridge across modalities, bringing both optimism about superhuman capabilities and skepticism about the limits of current approaches. Through talks from outstanding researchers and faculty, we hope to dive deep into this exciting topic at the intersection of theory, multimodal learning and cognitive science to understand what we have achieved thus far in machine intelligence and what we are lacking in relation to the human way of thinking, towards finding the missing rungs on the ladder to truly intelligent reasoning.",https://marworkshop.github.io/neurips25/
Learning to Sense (L2S),"Shashank Agnihotri, Mishal Fatima, Marius Bock, Kanchana Vaishnavi Gandikota, Jovita Lukasik, Margret Keuper, Michael Moeller",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 32AB,"The workshop explores the joint optimization of sensors and machine learning models, pushing beyond traditional paradigms of data acquisition and processing. We aim to rethink the foundations of how machines sense the world by replacing hand-crafted ISPs, leveraging learnable sensor layouts, and adopting task-driven sensing strategies. We welcome original contributions and position papers on the following topics (non-exhaustive): * Sensor optimization for e.g. computer vision (bit-depth, pixel layouts, color filter design) * RAW-to-task or RAW-to-label approaches for visual tasks * Co-design of neural networks and sensor hardware * Low-bit and energy-efficient sensing for embedded or mobile devices * Benchmarks, datasets, and metrics for evaluating sensor-model pipelines * Generalization and robustness of sensor-model systems in real-world conditions * Failure case studies and negative results in joint optimization pipelines Join us to engage with cutting-edge research and cross-disciplinary discussions that are shaping the future of sensor systems for real-world deployment across mobile, embedded, and autonomous platforms.",https://sites.google.com/view/l2s-workshop/home
What Can(\'t) Transformers Do?,"Tobias Schnabel, Kiran Tomlinson, Lena Strobl, Michael Hahn",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 4,"With most advances in large foundation models (LFMs) being empirical, our theoretical understanding of what transformers can compute, express, and learn still lags behind. This workshop will convene theorists and empiricists to chart a rigorous agenda for the next generation of LFMs, asking “What _can_ and _can’t_ transformers do?” We welcome both formal analyses and empirically grounded studies that shed light on theoretical questions, aiming to close the gap between proofs and practice while fostering new, interdisciplinary collaborations.",https://transformerstheory.github.io/
Frontiers in Probabilistic Inference: Learning meets Sampling,"Tara Akhound-Sadegh, Michael Albergo, Joey Bose, Marylou Gabrié, Louis Grenioux, Guan-Horng Liu, Kirill Neklyudov, Grant Rotskoff, Eva Smorodina, Alexander Tong",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 7,,http://fpiworkshop.org
Tackling Climate Change with Machine Learning,"Hari Prasanna Das, Raluca Georgescu, Joaquin Salas, Salva Rühling Cachay, Nadia Ahmed, Yoshua Bengio",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 24ABC,"Many in the ML community wish to take action on climate change, but are unsure how to have the most impact. This workshop will highlight work that demonstrates that, while ML is no silver bullet, it can be an invaluable tool in reducing greenhouse gas emissions and in helping society adapt to the effects of climate change. Climate change is a complex problem for which action takes many forms, from advancing theory to deploying new technology. Many of these actions represent high-impact opportunities for real-world change, and simultaneously pose interesting academic research problems. The theme of this workshop, “Roots to Routes: A Dialogue on Different Machine Learning Methods for Climate Impact,” invites submissions that explore the strengths of diverse machine learning approaches in climate-related contexts. We particularly encourage work that demonstrates the effectiveness of classical ML methods under real-world constraints, such as limited data availability, privacy concerns, or restricted computational resources. At the same time, we welcome contributions that showcase how scaling up data and computing resources combined with modern tools and techniques can unlock new possibilities for tackling global-scale climate prediction challenges. This workshop is part of a series that aims to bring together those applying ML to climate change challenges and facilitate cross-pollination between ML researchers and experts in climate-relevant fields.",https://www.climatechange.ai/events/neurips2025
Regulatable ML: Towards Bridging the Gaps between Machine Learning Research and Regulations,"Chirag Agarwal, Jiaqi Ma, Sarah Tan, Himabindu Lakkaraju, Junwei Deng, Pingbang Hu, Eileanor LaRocco, Karolina Naranjo, Shichang (Ray) Zhang",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 1AB,,https://regulatableml.github.io/
AI for Science: The Reach and Limits of AI for Scientific Discovery,"Ada Fang, Marinka Zitnik, Max Welling, Carla Gomes, Yuanqi Du, Sanjeev Raja, Lixue Cheng, Lijing Wang, Michael Albergo",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Ballroom 20A,"Through our proposed AI for Science workshop, we will bring together experimentalists, domain scientists, and ML researchers to discuss the reach and limits of AI for scientific discovery. We will center our discussion on three challenges that are essential to progress across scientific domains: **LLM reasoning across scientific domains** – can present-day LLMs generate rigorously testable hypotheses and reason over experimental results that span scientific domains such as physics, chemistry, and biology? **Fidelity of generative and surrogate simulators** – In biology, we see a shift towards all-atom models with increasingly powerful capabilities, in chemistry machine learning force fields are increasing in accuracy and generalizability, and in climate modeling we can now accurately predict weather 15 days out. How far can we push this limit? What spatial or temporal scales remain intractable? **Experimental data scarcity and bias**. We see modern examples of large-scale dataset generation such as the Protein Data Bank, Human Cell Atlas, and the Materials Project. Are there other fields where AI can benefit most from consortium efforts to generate large-scale datasets? How far can models trained on limited experimental datasets take us and where are lab-in-the-loop strategies essential? To address this, we additionally introduce a **dataset proposal competition**. Our workshop will highlight common bottlenecks in developing AI methods across scientific application domains, and delve into solutions that can unlock progress across all of these domains.",https://ai4sciencecommunity.github.io/neurips25
New Perspectives in Graph Machine Learning,"Zhiyang Wang, Juan Cervino, Luana Ruiz, Alejandro Ribeiro, Stefanie Jegelka, Charilaos Kanatsoulis",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Exhibit Hall F,,https://newgraphperspectives.com/
Non-Euclidean Foundation Models and Geometric Learning: Advancing AI Beyond Euclidean Frameworks,"Menglin Yang, Neil He, Yifei Zhang, Weikang Qiu, Ngoc Bui, Jiahong Liu, Melanie Weber, Rex Ying",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 8,"In the era of foundation models and Large Language Models (LLMs), Euclidean space is the de facto geometric setting of our machine learning architectures. However, recent literature has demonstrated that this choice comes with fundamental limitations. Non-Euclidean learning is quickly gaining traction. Non-Euclidean spaces, such as hyperbolic, spherical, and mixed-curvature spaces, have been shown to provide more efficient and effective representations for data with intrinsic geometric properties, like hierarchy, symmetry, and heterogeneity. Integrating foundation models with non-Euclidean spaces has great potential to enhance their ability to capture and model the underlying structures and relationships in complex real-world data, leading to better performance, generalization, and interpretability. This workshop focuses on the intersection of Non-Euclidean representation learning and Foundation Models, exploring its potential benefits, challenges, and future directions.",https://hyperboliclearning.github.io/events/neurips2025negelworkshop
UrbanAI: Harnessing Artificial Intelligence for Smart Cities,"Judah Goldfeder, Na Li, Donna Vakalis, Bianca Howard, Philippe Wyder, Bing Dong, Yoshua Bengio",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 26AB,,
AI That Keeps Up: Workshop on Continual and Compatible Foundation Model Updates (CCFM),"Fartash Faghri, Jessica Echterhoff, Jeffrey Li, Saurabh Garg, Amal Rannen-Triki, Sayna Ebrahimi",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 25ABC,"Foundation models, despite their impressive capabilities, face a critical challenge: they naturally become outdated. Trained on vast datasets, frequently updating these models is expensive. Crucially, these challenges extend beyond the scope of studies in traditional continual learning, as foundation models require rapid and scalable adaptation to dynamic global changes and the emergence of both generalized and specialized tasks. This workshop addresses the urgent need for up-to-date foundation models. We invite researchers to explore cost-effective methods for frequent updates and adaptation, minimizing forgetting and deterioration, ensuring a consistent user experience, and designing dynamic evaluations that remain relevant as models evolve.",https://sites.google.com/view/ccfm-neurips2025
Recent Advances in Time Series Foundation Models: Have We Reached the ‘BERT Moment’?,"Thomas Moreau, Romain Tavenard, Valentina Zantedeschi, Vasilii Feofanov, Ievgen Redko, Ambroise Odonnat",Sun 7 Dec,8 a.m. PST — 5 p.m. PST,Upper Level Room 3,"Foundation models (FMs) have achieved great success in NLP and vision, inspiring over 20 new time series FMs (TSFMs) in the past year. Despite promising results, studies show that carefully designed lightweight supervised baselines often match TSFM performance. Unlike NLP’s “BERT Moment,” TSFMs still require full fine-tuning to be competitive in real-world scenarios. Additionally, some tabular FMs rival TSFMs without being time series-specific. Recent benchmarks also provide mixed evidence: GIFT-Eval favors TSFMs, OpenTS shows statistical models outperforming deep learning on univariate data, and FoundTS finds supervised baselines on par with TSFMs. This workshop aims to bring together researchers to examine the gap between TSFM potential and real-world utility, and to identify benchmarks and applications where TSFMs can truly excel. The key topics of this workshop include, but are not limited to: - Benchmarking Foundation Models in Time Series, - Scaling Laws and Efficiency in Time Series Models, - Evaluating Transferability and Adaptability of Foundation Models, - Leveraging Foundation Models of Other Modalities for Time Series, - Unsupervised performance estimation of TSFMs, - Industrial Benchmarking of Time Series Foundation Models",https://berts-workshop.github.io/
